EmployeeNumber,Age,Age_Group,Gender,Department,JobRole,BusinessTravel,DistanceFromHome,Education,EducationField,JobLevel,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,MonthlyIncome,Salary_Band,OverTime,TotalWorkingYears,Experience_Band,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,PercentSalaryHike,PerformanceRating,StockOptionLevel,MaritalStatus,Attrition
388,29,25-34,Male,Sales,"Sales Executive",Travel_Frequently,2,2,"Life Sciences",2,4,2,1,2,4554,Medium,No,10,"6-10 Years",10,7,0,9,1,3,18,3,0,Single,No
389,55,55+,Male,"Research & Development","Laboratory Technician",Travel_Rarely,20,2,"Technical Degree",2,4,2,4,3,5415,Medium,Yes,12,"11-20 Years",10,7,0,8,3,4,19,3,1,Married,No
390,26,25-34,Male,"Research & Development","Healthcare Representative",Travel_Frequently,11,2,Medical,2,1,1,3,3,4741,Medium,Yes,5,"3-5 Years",5,3,3,3,1,3,13,3,1,Married,No
391,37,35-44,Female,"Research & Development","Research Scientist",Travel_Rarely,1,3,"Life Sciences",1,4,4,2,3,2115,Low,No,17,"11-20 Years",17,12,5,7,1,3,12,3,0,Single,No
392,44,35-44,Male,"Research & Development","Laboratory Technician",Travel_Frequently,24,3,"Life Sciences",1,3,4,4,1,3161,Medium,Yes,19,"11-20 Years",1,0,0,0,3,0,22,4,1,Divorced,Yes
393,38,35-44,Male,"Research & Development","Healthcare Representative",Travel_Rarely,23,4,"Life Sciences",2,4,4,2,3,5745,Medium,No,10,"6-10 Years",2,2,1,2,9,2,14,3,1,Divorced,No
394,26,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,16,4,Medical,1,2,1,4,3,2373,Low,Yes,5,"3-5 Years",3,2,0,2,2,2,13,3,1,Divorced,Yes
395,28,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,8,2,"Life Sciences",1,4,4,4,3,3310,Medium,No,5,"3-5 Years",5,3,0,2,1,3,21,4,0,Single,No
396,49,45-54,Female,"Research & Development","Research Director",Travel_Frequently,10,4,"Life Sciences",5,1,3,4,3,18665,"Very High",Yes,22,"20+ Years",3,2,1,2,9,4,11,3,0,Single,No
397,36,35-44,Male,"Research & Development","Research Scientist",Travel_Rarely,3,3,"Technical Degree",2,2,3,4,3,4485,Medium,No,10,"6-10 Years",8,0,7,7,4,2,12,3,0,Single,No
399,31,25-34,Female,Sales,"Sales Representative",Travel_Frequently,5,3,Marketing,1,2,4,3,2,2789,Low,No,2,"0-2 Years",2,2,2,2,1,5,11,3,1,Divorced,No
401,26,25-34,Male,Sales,"Sales Executive",Travel_Rarely,4,4,Marketing,2,4,4,2,3,5828,Medium,Yes,8,"6-10 Years",8,7,7,4,1,0,12,3,0,Single,Yes
403,37,35-44,Male,"Research & Development","Research Scientist",Travel_Frequently,9,3,Medical,1,4,2,3,2,2326,Low,Yes,4,"3-5 Years",4,2,1,2,1,3,12,3,3,Married,No
404,42,35-44,Female,Sales,"Sales Executive",Travel_Frequently,26,3,Marketing,4,2,3,4,4,13525,"Very High",No,23,"20+ Years",20,4,4,8,5,2,14,3,1,Married,No
405,18,"Under 25",Male,"Research & Development","Laboratory Technician",Travel_Rarely,3,3,"Life Sciences",1,3,3,3,3,1420,Low,No,0,"0-2 Years",0,0,0,0,1,2,13,3,0,Single,Yes
406,35,35-44,Male,Sales,"Sales Executive",Travel_Rarely,16,3,Marketing,3,2,3,3,2,8020,High,No,12,"11-20 Years",11,9,6,9,0,3,15,3,2,Married,No
407,36,35-44,Male,"Research & Development","Laboratory Technician",Travel_Frequently,18,4,"Life Sciences",1,4,3,4,3,3688,Medium,No,4,"3-5 Years",1,0,0,0,4,2,18,3,2,Married,No
408,51,45-54,Male,"Research & Development","Manufacturing Director",Travel_Rarely,2,3,Medical,2,2,4,4,3,5482,Medium,No,13,"11-20 Years",4,1,1,2,5,3,18,3,1,Divorced,No
410,41,35-44,Male,Sales,Manager,Travel_Rarely,2,4,"Life Sciences",4,2,4,2,3,16015,"Very High",No,22,"20+ Years",22,10,0,4,1,2,19,3,0,Single,No
411,18,"Under 25",Female,Sales,"Sales Representative",Travel_Rarely,10,3,Medical,1,3,4,1,3,1200,Low,No,0,"0-2 Years",0,0,0,0,1,2,12,3,0,Single,No
412,28,25-34,Male,"Research & Development","Healthcare Representative",Travel_Rarely,16,2,Medical,2,1,2,3,3,5661,Medium,No,9,"6-10 Years",8,3,0,7,0,2,19,3,0,Single,No
416,31,25-34,Male,Sales,"Sales Executive",Travel_Rarely,7,3,"Technical Degree",2,4,2,2,2,6929,High,No,10,"6-10 Years",8,7,7,7,4,3,11,3,1,Married,No
417,39,35-44,Male,"Research & Development","Healthcare Representative",Travel_Rarely,1,3,Medical,3,4,3,1,2,9613,High,No,19,"11-20 Years",18,10,3,7,0,5,17,3,3,Divorced,No
419,36,35-44,Female,"Research & Development","Laboratory Technician",Non-Travel,24,4,"Life Sciences",2,2,2,3,3,5674,Medium,No,11,"11-20 Years",9,8,0,8,7,3,15,3,1,Married,No
420,32,25-34,Male,Sales,"Sales Executive",Travel_Rarely,7,3,"Life Sciences",2,3,4,3,2,5484,Medium,No,13,"11-20 Years",13,8,4,8,1,3,14,3,1,Married,No
421,38,35-44,Female,"Research & Development","Research Director",Travel_Rarely,25,2,"Life Sciences",3,2,1,3,3,12061,"Very High",No,19,"11-20 Years",10,8,0,1,3,2,17,3,1,Married,No
422,58,55+,Male,"Research & Development","Healthcare Representative",Non-Travel,1,4,"Life Sciences",2,3,4,4,3,5660,Medium,Yes,12,"11-20 Years",5,3,1,2,2,2,13,3,1,Divorced,No
423,31,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,5,4,"Technical Degree",1,4,3,3,3,4821,Medium,Yes,6,"6-10 Years",5,2,0,3,0,4,12,3,1,Married,No
424,31,25-34,Male,"Human Resources","Human Resources",Travel_Rarely,2,3,"Human Resources",2,1,1,4,3,6410,High,No,9,"6-10 Years",2,2,1,0,3,1,12,3,0,Married,No
425,45,45-54,Male,"Research & Development","Laboratory Technician",Travel_Frequently,7,3,"Life Sciences",3,1,1,1,3,5210,Medium,No,24,"20+ Years",24,9,9,11,1,2,18,3,1,Divorced,No
426,31,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,2,4,"Life Sciences",1,4,3,2,1,2695,Low,Yes,3,"3-5 Years",2,2,2,2,0,2,18,3,1,Divorced,No
428,33,25-34,Female,"Research & Development",Manager,Travel_Frequently,5,4,"Life Sciences",3,2,4,2,3,11878,"Very High",No,12,"11-20 Years",10,6,8,8,6,2,11,3,2,Married,No
429,39,35-44,Male,"Research & Development",Manager,Travel_Rarely,10,1,Medical,4,1,3,4,3,17068,"Very High",Yes,21,"20+ Years",21,9,11,10,1,3,14,3,0,Married,No
430,43,35-44,Female,"Research & Development","Laboratory Technician",Travel_Frequently,10,4,"Life Sciences",1,4,3,1,3,2455,Low,No,9,"6-10 Years",8,7,1,7,0,5,19,3,0,Single,No
431,49,45-54,Female,"Research & Development","Healthcare Representative",Travel_Rarely,1,2,"Technical Degree",4,3,3,4,3,13964,"Very High",Yes,25,"20+ Years",7,1,0,7,7,2,12,3,0,Single,No
433,52,45-54,Male,"Research & Development","Research Scientist",Travel_Rarely,8,4,Medical,2,2,3,1,2,4941,Medium,No,11,"11-20 Years",8,2,7,7,2,3,15,3,0,Married,Yes
434,27,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,5,3,"Life Sciences",1,2,3,2,2,2478,Low,Yes,4,"3-5 Years",4,3,1,2,1,2,12,3,0,Single,No
436,32,25-34,Female,Sales,"Sales Executive",Travel_Rarely,8,2,"Technical Degree",2,2,3,4,3,5228,Medium,Yes,13,"11-20 Years",13,12,11,9,1,2,11,3,0,Married,No
437,27,25-34,Male,Sales,"Sales Executive",Travel_Rarely,2,3,"Life Sciences",2,3,4,1,3,4478,Medium,Yes,5,"3-5 Years",5,4,0,4,1,3,11,3,0,Single,No
438,31,25-34,Male,Sales,"Sales Executive",Travel_Rarely,7,3,Marketing,2,4,4,4,3,7547,High,No,13,"11-20 Years",7,7,1,7,4,3,12,3,3,Divorced,No
439,32,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,2,4,Medical,2,4,1,3,2,5055,Medium,No,10,"6-10 Years",7,7,0,7,7,0,16,3,0,Single,No
440,28,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,2,4,Medical,1,4,1,4,2,3464,Medium,Yes,5,"3-5 Years",3,2,2,2,5,4,13,3,0,Married,Yes
441,30,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,28,2,Medical,2,4,4,4,3,5775,Medium,No,11,"11-20 Years",10,8,1,9,1,2,13,3,2,Married,No
442,31,25-34,Female,"Research & Development","Manufacturing Director",Travel_Frequently,7,2,"Life Sciences",3,3,3,1,3,8943,High,No,10,"6-10 Years",10,9,8,9,1,2,24,4,1,Married,No
444,39,35-44,Male,"Research & Development",Manager,Travel_Frequently,7,2,Medical,5,4,3,1,3,19272,"Very High",No,21,"20+ Years",21,9,13,3,1,2,15,3,1,Married,No
445,39,35-44,Female,Sales,"Sales Executive",Travel_Rarely,3,2,Medical,2,3,4,1,2,5238,Medium,Yes,12,"11-20 Years",1,0,0,0,4,3,18,3,0,Married,Yes
446,33,25-34,Male,Sales,"Sales Executive",Travel_Frequently,10,3,Marketing,2,4,2,3,2,4682,Medium,No,9,"6-10 Years",7,7,0,1,3,6,14,3,0,Single,No
447,47,45-54,Male,"Research & Development","Research Director",Travel_Rarely,5,5,"Life Sciences",5,3,4,2,3,18300,"Very High",No,21,"20+ Years",3,2,1,1,4,2,11,3,1,Married,No
448,43,35-44,Female,"Research & Development","Laboratory Technician",Travel_Frequently,10,4,"Life Sciences",2,3,3,2,4,5257,Medium,No,9,"6-10 Years",9,7,0,0,1,3,11,3,1,Divorced,No
449,27,25-34,Male,Sales,"Sales Executive",Non-Travel,1,1,Marketing,2,2,3,4,3,6349,High,Yes,6,"6-10 Years",5,4,1,4,0,0,13,3,1,Married,No
450,54,45-54,Female,"Research & Development","Research Scientist",Travel_Frequently,20,4,"Life Sciences",2,3,4,4,2,4869,Medium,No,20,"11-20 Years",4,3,0,3,3,4,12,3,0,Single,No
451,43,35-44,Female,"Research & Development","Healthcare Representative",Travel_Rarely,7,3,"Life Sciences",3,1,3,1,2,9985,High,No,10,"6-10 Years",1,0,0,0,8,1,16,3,1,Married,No
452,45,45-54,Male,"Research & Development","Research Scientist",Travel_Rarely,8,4,Other,2,4,4,1,3,3697,Medium,No,12,"11-20 Years",10,9,9,8,9,3,14,3,2,Married,No
453,40,35-44,Male,Sales,"Sales Executive",Travel_Rarely,1,2,Medical,2,4,2,3,2,7457,High,Yes,6,"6-10 Years",4,3,0,2,2,2,22,4,3,Married,No
454,29,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,8,4,Other,1,1,2,4,2,2119,Low,Yes,7,"6-10 Years",7,7,0,7,1,4,11,3,0,Married,Yes
455,29,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,9,5,Other,1,4,2,3,3,3983,Medium,No,4,"3-5 Years",3,2,2,2,0,2,17,3,0,Single,No
456,30,25-34,Female,Sales,"Sales Executive",Travel_Rarely,5,3,Marketing,2,3,4,3,3,6118,High,No,10,"6-10 Years",10,9,1,2,1,2,13,3,3,Divorced,No
458,27,25-34,Female,Sales,"Sales Executive",Travel_Rarely,8,4,Marketing,2,2,2,1,3,6214,High,No,8,"6-10 Years",8,7,0,7,1,3,18,3,1,Married,No
460,37,35-44,Male,"Research & Development","Manufacturing Director",Travel_Rarely,5,2,Medical,2,4,4,3,2,6347,High,No,8,"6-10 Years",6,2,0,4,7,2,16,3,2,Divorced,No
461,38,35-44,Male,"Research & Development","Research Director",Travel_Rarely,15,2,"Life Sciences",3,4,3,2,3,11510,"Very High",Yes,12,"11-20 Years",11,10,2,9,0,3,14,3,1,Divorced,No
462,31,25-34,Female,"Research & Development","Manufacturing Director",Travel_Rarely,7,4,Medical,3,4,3,3,2,7143,High,Yes,11,"11-20 Years",11,9,4,10,1,2,14,3,0,Single,No
463,29,25-34,Female,Sales,"Sales Executive",Travel_Rarely,10,1,Marketing,2,2,4,1,3,8268,High,Yes,7,"6-10 Years",7,7,1,7,1,2,14,3,2,Divorced,No
464,35,35-44,Male,"Research & Development","Manufacturing Director",Travel_Rarely,5,4,"Technical Degree",3,2,3,4,3,8095,High,No,17,"11-20 Years",16,6,0,13,0,5,13,3,0,Single,No
465,23,"Under 25",Male,"Research & Development","Research Scientist",Travel_Rarely,26,1,"Life Sciences",1,4,3,3,2,2904,Low,No,4,"3-5 Years",4,2,0,2,1,2,12,3,2,Divorced,No
466,41,35-44,Male,"Research & Development","Manufacturing Director",Travel_Rarely,6,3,Medical,2,2,4,4,3,6032,High,Yes,8,"6-10 Years",5,4,1,2,6,3,15,3,0,Single,No
467,47,45-54,Male,Sales,"Sales Representative",Travel_Frequently,4,1,Medical,2,3,2,1,3,2976,Low,No,5,"3-5 Years",0,0,0,0,3,3,19,3,0,Single,No
468,42,35-44,Female,"Research & Development","Research Director",Travel_Rarely,23,5,"Life Sciences",4,4,1,2,3,15992,"Very High",No,16,"11-20 Years",1,0,0,0,2,2,14,3,0,Single,No
469,29,25-34,Male,Sales,"Sales Executive",Non-Travel,2,3,"Life Sciences",2,3,4,1,2,4649,Medium,No,4,"3-5 Years",4,3,0,2,1,3,14,3,1,Married,No
470,42,35-44,Male,"Human Resources","Human Resources",Travel_Rarely,2,1,"Technical Degree",1,3,3,3,3,2696,Low,Yes,4,"3-5 Years",3,2,1,0,0,5,11,3,1,Divorced,No
471,32,25-34,Female,"Research & Development","Laboratory Technician",Travel_Rarely,2,3,Medical,1,2,3,3,3,2370,Low,No,8,"6-10 Years",8,0,0,7,1,4,13,3,1,Married,No
473,48,45-54,Female,Sales,Manager,Travel_Rarely,29,1,Medical,3,3,1,2,1,12504,"Very High",No,15,"11-20 Years",0,0,0,0,3,3,21,4,1,Married,No
474,37,35-44,Male,"Research & Development","Research Scientist",Travel_Rarely,6,3,Medical,2,1,3,1,3,5974,Medium,Yes,13,"11-20 Years",7,7,6,7,4,2,13,3,2,Divorced,No
475,30,25-34,Female,Sales,"Sales Executive",Non-Travel,25,2,"Technical Degree",2,3,4,2,4,4736,Medium,Yes,4,"3-5 Years",2,2,2,2,7,2,12,3,1,Married,No
476,26,25-34,Male,Sales,"Sales Executive",Travel_Rarely,1,3,"Life Sciences",2,3,3,2,3,5296,Medium,No,8,"6-10 Years",8,7,7,7,1,3,17,3,1,Married,No
477,42,35-44,Male,"Research & Development","Healthcare Representative",Travel_Rarely,2,4,Other,2,4,1,2,3,6781,High,No,14,"11-20 Years",1,0,0,0,3,6,23,4,0,Single,No
478,21,"Under 25",Female,Sales,"Sales Representative",Travel_Frequently,1,1,"Technical Degree",1,2,1,3,3,2174,Low,Yes,3,"3-5 Years",3,2,1,2,1,3,11,3,0,Single,Yes
479,36,35-44,Female,Sales,"Sales Executive",Non-Travel,1,5,Medical,2,4,4,2,3,6653,High,No,7,"6-10 Years",1,0,0,0,4,6,15,3,0,Single,No
481,36,35-44,Male,Sales,"Sales Executive",Travel_Frequently,3,4,Medical,3,4,1,1,3,9699,High,No,16,"11-20 Years",13,9,1,12,4,2,11,3,1,Married,No
482,57,55+,Male,"Research & Development","Healthcare Representative",Travel_Rarely,1,4,Medical,2,3,4,3,3,6755,High,No,15,"11-20 Years",3,2,1,2,2,2,11,3,0,Married,No
483,40,35-44,Female,"Research & Development","Laboratory Technician",Travel_Rarely,10,4,"Life Sciences",1,3,4,3,3,2213,Low,Yes,10,"6-10 Years",7,7,1,7,3,3,13,3,1,Married,No
484,21,"Under 25",Male,Sales,"Sales Representative",Non-Travel,9,2,Medical,1,4,1,3,2,2610,Low,No,3,"3-5 Years",3,2,2,2,1,3,24,4,0,Single,No
485,33,25-34,Female,Sales,"Sales Representative",Travel_Rarely,5,3,Marketing,1,3,4,2,3,2851,Low,Yes,1,"0-2 Years",1,0,0,0,1,2,13,3,0,Single,Yes
486,37,35-44,Female,"Research & Development","Laboratory Technician",Travel_Rarely,10,3,Medical,1,1,3,2,3,3452,Medium,No,17,"11-20 Years",5,4,0,3,6,3,20,4,1,Married,No
487,46,45-54,Female,"Research & Development","Manufacturing Director",Non-Travel,7,4,Medical,2,3,3,3,4,5258,Medium,No,7,"6-10 Years",1,0,0,0,2,2,14,3,0,Married,No
488,41,35-44,Male,Sales,"Sales Executive",Travel_Frequently,4,3,Marketing,2,2,1,3,3,9355,High,No,8,"6-10 Years",8,7,7,7,1,5,18,3,0,Single,Yes
491,50,45-54,Male,"Research & Development","Healthcare Representative",Travel_Rarely,10,3,"Technical Degree",3,4,4,4,3,10496,"Very High",No,20,"11-20 Years",4,3,1,3,6,2,15,3,0,Single,No
492,40,35-44,Male,Sales,"Sales Executive",Travel_Rarely,22,2,Marketing,2,3,3,1,3,6380,High,Yes,8,"6-10 Years",6,4,1,0,2,6,12,3,2,Married,Yes
493,31,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,9,4,"Life Sciences",1,2,3,4,3,2657,Low,Yes,3,"3-5 Years",2,2,2,2,0,5,16,3,0,Single,No
494,21,"Under 25",Female,Sales,"Sales Representative",Travel_Rarely,12,3,"Life Sciences",1,2,3,4,3,2716,Low,No,1,"0-2 Years",1,0,0,0,1,0,15,3,0,Single,Yes
495,29,25-34,Male,"Research & Development","Research Scientist",Travel_Rarely,23,3,"Life Sciences",1,4,4,4,3,2201,Low,No,6,"6-10 Years",3,2,1,2,9,4,16,3,0,Single,No
496,35,35-44,Male,"Research & Development","Healthcare Representative",Travel_Rarely,9,4,"Life Sciences",2,2,3,3,3,6540,High,No,10,"6-10 Years",1,1,0,0,9,5,19,3,0,Single,No
497,27,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,1,2,Medical,1,2,4,2,3,3816,Medium,No,5,"3-5 Years",5,2,0,4,1,2,11,3,1,Divorced,No
498,28,25-34,Male,Sales,"Sales Executive",Travel_Rarely,9,4,"Life Sciences",2,4,2,4,3,5253,Medium,No,7,"6-10 Years",7,5,0,7,1,1,16,3,0,Single,No
499,49,45-54,Male,"Research & Development","Healthcare Representative",Travel_Rarely,7,3,Other,3,3,2,3,3,10965,"Very High",No,26,"20+ Years",5,2,0,0,8,2,24,4,0,Single,No
500,51,45-54,Female,Sales,"Sales Executive",Travel_Rarely,14,2,"Life Sciences",2,4,3,3,2,4936,Medium,No,18,"11-20 Years",7,7,0,7,4,2,11,3,1,Married,No
501,36,35-44,Female,"Research & Development","Research Scientist",Travel_Rarely,2,3,"Life Sciences",1,3,4,2,3,2543,Low,No,6,"6-10 Years",2,2,2,2,4,3,13,3,1,Married,No
502,34,25-34,Male,Sales,"Sales Executive",Non-Travel,19,3,Marketing,2,4,1,2,2,5304,Medium,Yes,9,"6-10 Years",5,2,0,4,8,3,13,3,0,Single,Yes
505,55,55+,Female,"Research & Development",Manager,Travel_Rarely,2,3,"Life Sciences",4,4,3,3,3,16659,"Very High",Yes,30,"20+ Years",5,4,1,2,2,2,13,3,0,Single,No
507,24,"Under 25",Female,Sales,"Sales Executive",Travel_Rarely,10,4,Marketing,2,3,4,4,4,4260,Medium,Yes,5,"3-5 Years",5,2,0,3,1,2,12,3,1,Divorced,No
508,30,25-34,Male,Sales,"Sales Representative",Travel_Rarely,2,1,"Technical Degree",1,2,3,1,3,2476,Low,No,1,"0-2 Years",1,0,0,0,1,3,18,3,1,Married,No
510,26,25-34,Male,"Research & Development","Research Scientist",Travel_Frequently,3,1,"Technical Degree",1,1,3,3,3,3102,Medium,No,7,"6-10 Years",6,4,0,4,0,2,22,4,0,Single,Yes
511,22,"Under 25",Female,"Research & Development","Research Scientist",Travel_Rarely,11,3,Medical,1,2,1,4,3,2244,Low,No,2,"0-2 Years",2,1,1,2,1,1,13,3,1,Married,No
513,36,35-44,Male,Sales,"Sales Executive",Travel_Rarely,2,2,Medical,3,3,2,2,3,7596,High,No,10,"6-10 Years",10,9,9,0,1,2,13,3,2,Married,No
514,30,25-34,Male,"Research & Development","Research Scientist",Travel_Frequently,4,3,"Technical Degree",1,4,3,3,3,2285,Low,Yes,3,"3-5 Years",1,0,0,0,9,4,23,4,0,Single,Yes
515,37,35-44,Female,"Research & Development","Laboratory Technician",Travel_Rarely,14,3,"Life Sciences",1,1,4,3,2,3034,Medium,No,18,"11-20 Years",18,7,12,17,1,2,12,3,1,Divorced,No
516,40,35-44,Female,Sales,"Sales Executive",Travel_Rarely,2,2,Marketing,2,2,4,3,3,5715,Medium,No,8,"6-10 Years",5,4,1,3,7,5,12,3,2,Divorced,No
517,42,35-44,Female,"Research & Development","Laboratory Technician",Travel_Rarely,1,4,"Life Sciences",1,1,2,2,3,2576,Low,No,8,"6-10 Years",5,2,1,2,3,5,16,3,1,Divorced,No
518,37,35-44,Male,"Research & Development","Manufacturing Director",Travel_Rarely,10,4,"Life Sciences",2,2,3,4,2,4197,Medium,Yes,18,"11-20 Years",1,0,0,1,2,2,12,3,0,Single,No
520,43,35-44,Male,"Research & Development","Research Director",Travel_Rarely,12,3,"Life Sciences",4,2,1,3,3,14336,"Very High",No,25,"20+ Years",25,10,3,9,1,3,11,3,1,Divorced,No
521,40,35-44,Female,"Research & Development","Laboratory Technician",Travel_Rarely,2,3,Medical,2,3,2,2,3,3448,Medium,No,20,"11-20 Years",1,0,0,0,6,3,22,4,1,Married,No
522,54,45-54,Male,"Research & Development","Research Director",Travel_Rarely,5,2,Medical,5,1,1,3,2,19406,"Very High",No,24,"20+ Years",4,2,1,2,4,4,11,3,1,Married,No
523,34,25-34,Female,Sales,"Sales Executive",Non-Travel,4,4,Marketing,2,3,3,1,3,6538,High,No,6,"6-10 Years",3,2,1,2,9,3,15,3,1,Married,No
524,31,25-34,Female,"Research & Development","Manufacturing Director",Travel_Rarely,7,2,Medical,2,1,2,2,1,4306,Medium,No,13,"11-20 Years",13,10,3,12,1,5,12,3,1,Married,No
525,43,35-44,Male,"Research & Development","Laboratory Technician",Travel_Frequently,21,3,Medical,1,4,4,1,3,2258,Low,No,8,"6-10 Years",3,2,1,2,7,1,20,4,1,Married,No
526,43,35-44,Female,"Research & Development","Healthcare Representative",Travel_Rarely,8,4,Other,2,3,3,4,3,4522,Medium,Yes,8,"6-10 Years",5,2,0,2,4,3,14,3,0,Divorced,No
527,25,25-34,Female,Sales,"Sales Executive",Travel_Rarely,4,2,"Life Sciences",2,4,2,2,3,4487,Medium,Yes,5,"3-5 Years",5,4,1,3,1,3,11,3,0,Single,No
529,37,35-44,Female,"Research & Development","Research Scientist",Non-Travel,25,5,Medical,2,3,2,1,3,4449,Medium,Yes,15,"11-20 Years",13,11,10,7,3,2,15,3,2,Married,No
530,31,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,1,2,"Life Sciences",1,1,4,3,3,2218,Low,No,4,"3-5 Years",4,2,3,2,1,3,12,3,1,Married,No
531,39,35-44,Male,"Research & Development",Manager,Travel_Frequently,1,1,"Life Sciences",5,3,2,3,3,19197,"Very High",Yes,21,"20+ Years",21,8,1,6,1,3,14,3,1,Divorced,No
532,56,55+,Female,Sales,"Sales Executive",Travel_Frequently,6,3,"Life Sciences",4,1,3,4,2,13212,"Very High",No,36,"20+ Years",7,7,7,7,9,0,11,3,3,Married,No
533,30,25-34,Female,Sales,"Sales Executive",Travel_Rarely,12,3,"Technical Degree",2,3,2,2,3,6577,High,No,6,"6-10 Years",5,4,4,4,0,6,11,3,0,Single,No
534,41,35-44,Male,Sales,"Sales Executive",Travel_Rarely,1,3,Marketing,3,1,2,3,3,8392,High,No,10,"6-10 Years",10,7,0,7,1,2,16,3,1,Married,No
536,28,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,17,2,Medical,2,1,3,4,3,4558,Medium,No,10,"6-10 Years",10,0,1,8,1,2,12,3,1,Divorced,No
538,25,25-34,Male,"Research & Development","Laboratory Technician",Travel_Rarely,3,3,Medical,1,1,1,3,3,4031,Medium,No,6,"6-10 Years",2,2,0,2,5,5,13,3,1,Married,Yes
543,52,45-54,Male,"Research & Development","Manufacturing Director",Travel_Rarely,3,3,Medical,3,3,4,3,3,7969,High,Yes,28,"20+ Years",5,4,0,4,2,4,14,3,0,Married,No
544,45,45-54,Male,"Research & Development","Research Scientist",Travel_Rarely,10,2,"Life Sciences",1,4,1,4,2,2654,Low,No,8,"6-10 Years",2,2,0,2,3,3,21,4,2,Married,No
546,52,45-54,Female,"Research & Development",Manager,Travel_Rarely,4,2,"Life Sciences",4,4,4,4,1,16555,"Very High",No,31,"20+ Years",5,2,1,4,2,2,13,3,0,Married,No
547,42,35-44,Female,"Research & Development","Research Scientist",Travel_Frequently,29,2,"Life Sciences",2,3,1,2,3,4556,Medium,No,19,"11-20 Years",5,4,0,2,2,3,11,3,1,Divorced,No
548,30,25-34,Female,"Research & Development","Manufacturing Director",Travel_Rarely,2,3,"Life Sciences",2,4,3,3,3,6091,High,No,11,"11-20 Years",5,4,0,2,2,2,20,4,0,Single,No
549,60,55+,Female,"Research & Development",Manager,Travel_Rarely,7,3,"Life Sciences",5,1,1,4,1,19566,"Very High",No,33,"20+ Years",29,8,11,10,5,5,11,3,0,Married,No
550,46,45-54,Female,"Research & Development","Manufacturing Director",Travel_Rarely,18,3,Medical,2,3,3,3,2,4810,Medium,No,19,"11-20 Years",10,7,0,8,2,5,14,3,1,Divorced,No
551,42,35-44,Female,"Research & Development","Healthcare Representative",Travel_Frequently,28,4,"Technical Degree",2,4,4,4,4,4523,Medium,No,7,"6-10 Years",6,5,0,4,0,4,11,3,3,Married,No
554,24,"Under 25",Female,Sales,"Sales Representative",Travel_Rarely,1,1,"Technical Degree",1,2,1,2,3,3202,Medium,Yes,6,"6-10 Years",5,3,1,4,1,4,16,3,0,Single,Yes
555,34,25-34,Female,Sales,"Sales Representative",Travel_Frequently,6,2,Marketing,1,3,4,4,2,2351,Low,No,3,"3-5 Years",2,2,1,0,0,3,16,3,1,Divorced,Yes
556,38,35-44,Male,"Research & Development","Laboratory Technician",Travel_Frequently,2,2,"Life Sciences",1,4,4,3,3,1702,Low,Yes,1,"0-2 Years",1,0,0,0,1,3,23,4,1,Married,No
558,40,35-44,Female,Sales,Manager,Travel_Rarely,2,4,"Life Sciences",5,3,3,4,3,18041,"Very High",No,21,"20+ Years",20,15,1,12,0,2,14,3,0,Married,No
560,26,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,23,3,"Life Sciences",1,4,1,2,1,2886,Low,No,3,"3-5 Years",3,2,0,2,1,3,22,4,2,Divorced,No
562,30,25-34,Male,"Research & Development","Laboratory Technician",Non-Travel,3,3,"Life Sciences",1,4,3,3,1,2097,Low,No,9,"6-10 Years",5,3,1,4,4,3,15,3,1,Married,No
564,29,25-34,Male,"Research & Development","Research Director",Travel_Rarely,3,4,Medical,3,3,2,3,3,11935,"Very High",No,10,"6-10 Years",10,2,0,7,1,2,18,3,0,Married,No
565,29,25-34,Female,"Research & Development","Research Scientist",Travel_Rarely,25,5,"Technical Degree",1,2,3,2,4,2546,Low,No,6,"6-10 Years",2,2,1,1,5,2,16,3,0,Married,Yes
566,19,"Under 25",Male,"Human Resources","Human Resources",Travel_Rarely,2,2,"Technical Degree",1,4,1,3,4,2564,Low,No,1,"0-2 Years",1,0,0,0,1,3,12,3,0,Single,Yes
567,30,25-34,Female,Sales,"Sales Executive",Non-Travel,22,4,Other,3,1,3,3,3,8412,High,No,10,"6-10 Years",9,8,7,8,0,3,11,3,0,Married,No
